Photo file Name;Date;Time;Rotation;Latitude;Longitude;X;Y;Position Accuracy;Altitude;Datum;Capture Mode Details;Project Name;Photo Description;Watermark;Tilt;Roll;Link
SchaGaDu-2024-04-25-13-44-29-Pila.jpg;25.04.2024;13:44:29;270;46.293821;8.061917;2'648'027.506;1'127'124.673;±4m;1584 m;WGS-84;Street Address: Berisal, Kehr, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;3.5°;1.5°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-13-44-29-Pila.jpg
SchaGaDu-2024-04-25-13-44-48-Pila.jpg;25.04.2024;13:44:48;297;46.293833;8.061938;2'648'029.113;1'127'126.019;±3m;1586 m;WGS-84;Street Address: Berisal, Kehr, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;-9.9°;1.7°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-13-44-48-Pila.jpg
SchaGaDu-2024-04-25-13-45-11-Pila.jpg;25.04.2024;13:45:11;36;46.293851;8.061928;2'648'028.327;1'127'128.014;±3m;1591 m;WGS-84;Street Address: Berisal, Kehr, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;-14.0°;-1.5°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-13-45-11-Pila.jpg
SchaGaDu-2024-04-25-13-46-03-Pila.jpg;25.04.2024;13:46:03;122;46.293811;8.061974;2'648'031.907;1'127'123.596;±3m;1588 m;WGS-84;Street Address: Berisal, Kehr, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;10.3°;-1.3°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-13-46-03-Pila.jpg
SchaGaDu-2024-04-25-13-46-20-Pila.jpg;25.04.2024;13:46:20;261;46.293755;8.061964;2'648'031.186;1'127'117.365;±3m;1584 m;WGS-84;Street Address: Berisal, Kehr, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;12.6°;0.5°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-13-46-20-Pila.jpg
SchaGaDu-2024-04-25-13-47-52-Pila.jpg;25.04.2024;13:47:52;320;46.293862;8.062029;2'648'036.100;1'127'129.299;±10m;1593 m;WGS-84;Street Address: Berisal, Kehr, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;-10.9°;1.7°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-13-47-52-Pila.jpg
SchaGaDu-2024-04-25-13-48-38-Pila.jpg;25.04.2024;13:48:38;333;46.293862;8.062019;2'648'035.329;1'127'129.293;±5m;1584 m;WGS-84;Street Address: Berisal, Kehr, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;6.9°;-1.6°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-13-48-38-Pila.jpg
SchaGaDu-2024-04-25-13-52-29-Pila.jpg;25.04.2024;13:52:29;80;46.294585;8.053945;2'647'412.555;1'127'204.756;±5m;1524 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;5.1°;2.9°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-13-52-29-Pila.jpg
SchaGaDu-2024-04-25-13-52-35-Pila.jpg;25.04.2024;13:52:35;75;46.294504;8.053918;2'647'410.545;1'127'195.735;±3m;1524 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;8.6°;3.0°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-13-52-35-Pila.jpg
SchaGaDu-2024-04-25-13-53-31-Pila.jpg;25.04.2024;13:53:31;20;46.294491;8.053251;2'647'359.161;1'127'193.888;±5m;1516 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;-30.2°;1.3°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-13-53-31-Pila.jpg
SchaGaDu-2024-04-25-13-54-06-Pila.jpg;25.04.2024;13:54:06;295;46.29452;8.053239;2'647'358.211;1'127'197.104;±3m;1514 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;-48.0°;0.3°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-13-54-06-Pila.jpg
SchaGaDu-2024-04-25-13-55-03-Pila.jpg;25.04.2024;13:55:03;359;46.294728;8.053419;2'647'371.900;1'127'220.334;±5m;1519 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;-57.8°;3.7°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-13-55-03-Pila.jpg
SchaGaDu-2024-04-25-14-00-01-Pila.jpg;25.04.2024;14:00:01;322;46.294674;8.05385;2'647'405.157;1'127'214.592;±5m;1508 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;-3.6°;2.3°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-00-01-Pila.jpg
SchaGaDu-2024-04-25-14-00-33-Pila.jpg;25.04.2024;14:00:33;41;46.294794;8.054017;2'647'417.921;1'127'228.032;±5m;1513 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;35.5°;11.5°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-00-33-Pila.jpg
SchaGaDu-2024-04-25-14-01-48-Pila.jpg;25.04.2024;14:01:48;325;46.294713;8.054183;2'647'430.782;1'127'219.128;±4m;1490 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;-3.0°;3.0°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-01-48-Pila.jpg
SchaGaDu-2024-04-25-14-02-16-Pila.jpg;25.04.2024;14:02:16;311;46.294802;8.054224;2'647'433.864;1'127'229.046;±3m;1489 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;4.3°;3.3°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-02-16-Pila.jpg
SchaGaDu-2024-04-25-14-03-18-Pila.jpg;25.04.2024;14:03:18;306;46.294421;8.054784;2'647'477.347;1'127'187.032;±54m;1537 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;1.4°;0.7°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-03-18-Pila.jpg
SchaGaDu-2024-04-25-14-06-34-Pila.jpg;25.04.2024;14:06:34;144;46.295947;8.056632;2'647'618.409;1'127'357.784;±4m;1485 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;26.8°;2.5°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-06-34-Pila.jpg
SchaGaDu-2024-04-25-14-06-40-Pila.jpg;25.04.2024;14:06:40;138;46.295952;8.056625;2'647'617.865;1'127'358.335;±3m;1487 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;25.8°;0.3°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-06-40-Pila.jpg
SchaGaDu-2024-04-25-14-07-10-Pila.jpg;25.04.2024;14:07:10;273;46.296075;8.056826;2'647'633.245;1'127'372.130;±3m;1486 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;-25.5°;0.8°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-07-10-Pila.jpg
SchaGaDu-2024-04-25-14-08-03-Pila.jpg;25.04.2024;14:08:03;307;46.296072;8.056472;2'647'605.971;1'127'371.582;±3m;1495 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;-23.5°;1.6°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-08-03-Pila.jpg
SchaGaDu-2024-04-25-14-08-18-Pila.jpg;25.04.2024;14:08:18;71;46.296069;8.056489;2'647'607.283;1'127'371.259;±3m;1492 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;-22.8°;-8.7°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-08-18-Pila.jpg
SchaGaDu-2024-04-25-14-08-27-Pila.jpg;25.04.2024;14:08:27;55;46.296057;8.056489;2'647'607.294;1'127'369.925;±3m;1492 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;-34.1°;4.0°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-08-27-Pila.jpg
SchaGaDu-2024-04-25-14-10-15-Pila.jpg;25.04.2024;14:10:15;196;46.295962;8.056895;2'647'638.660;1'127'359.611;±5m;1505 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;-42.7°;-5.1°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-10-15-Pila.jpg
SchaGaDu-2024-04-25-14-10-29-Pila.jpg;25.04.2024;14:10:29;93;46.296027;8.056722;2'647'625.273;1'127'366.731;±3m;1494 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;-39.8°;0.3°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-10-29-Pila.jpg
SchaGaDu-2024-04-25-14-15-14-Pila.jpg;25.04.2024;14:15:14;255;46.294852;8.054401;2'647'447.459;1'127'234.711;±7m;1510 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;-29.5°;-3.9°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-15-14-Pila.jpg
SchaGaDu-2024-04-25-14-16-08-Pila.jpg;25.04.2024;14:16:08;285;46.294817;8.054063;2'647'421.445;1'127'230.617;±35m;1502 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;-8.8°;-0.9°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-16-08-Pila.jpg
SchaGaDu-2024-04-25-14-21-03-Pila.jpg;25.04.2024;14:21:03;279;46.294899;8.055001;2'647'493.650;1'127'240.299;±70m;1505 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;-28.3°;-2.0°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-21-03-Pila.jpg
SchaGaDu-2024-04-25-14-21-45-Pila.jpg;25.04.2024;14:21:45;50;46.294836;8.054798;2'647'478.063;1'127'233.173;±4m;1523 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;3.2°;-1.4°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-21-45-Pila.jpg
SchaGaDu-2024-04-25-14-22-39-Pila.jpg;25.04.2024;14:22:39;246;46.294905;8.054846;2'647'481.702;1'127'240.872;±5m;1523 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;41.5°;-3.6°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-22-39-Pila.jpg
SchaGaDu-2024-04-25-14-22-58-Pila.jpg;25.04.2024;14:22:58;265;46.294901;8.054863;2'647'483.015;1'127'240.438;±3m;1524 m;WGS-84;Street Address: Eisten, Ganterbrücke, 3911 Ried-Brig, Svizzera;SchaGaDu;IM-Piz;;17.5°;-0.2°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-22-58-Pila.jpg
SchaGaDu-2024-04-25-14-23-37-Pila.jpg;25.04.2024;14:23:37;255;46.2949;8.054853;2'647'482.246;1'127'240.320;±8m;1522 m;WGS-84;Bearing: 255° SW;SchaGaDu;IM-Piz;;-18.7°;0.0°;C:\Users\luca.pizzetti\Downloads\SchaGaDu-2024-04-25\SchaGaDu-2024-04-25-14-23-37-Pila.jpg
